pbTrophies,kingLevel,cardLevels,warDayWins,winRate,maxChallengeWins,opponentTrophies,opponentKingLevel,maxOpponentChallengeWins,opponentCardLevels,opponentWinRate,winning
6388,13,11.26315789,173,0.581906372,15,5717,12,8,9.989473684,0.468803089,1
6160,13,10.78947368,171,0.560327456,12,5810,13,10,10.83157895,0.51294926,1
6603,13,12.2,249,0.577894593,14,6221,13,15,10.71578947,0.526702827,1
6038,13,11.46315789,178,0.517998459,11,5306,11,10,8.483870968,0.571072319,1
6207,13,11.25531915,190,0.559393638,12,5607,12,10,9.010638298,0.538695505,1
6310,13,10.97894737,125,0.559902371,12,6300,13,12,11.55789474,0.539590032,0
6021,13,12.54736842,206,0.538049421,15,5625,12,9,10.06382979,0.529958059,1
6127,13,10.94680851,100,0.499536393,10,6190,13,10,11.09473684,0.545308362,0
6317,13,9.5,183,0.527836601,10,6038,13,12,11.23404255,0.548182343,1
6713,13,12.95744681,108,0.541087651,20,6381,13,12,10.96842105,0.538292184,1
6009,13,10.41052632,167,0.568158624,10,6745,13,12,12.68421053,0.561687105,0
6409,13,11.45263158,165,0.505773254,10,6192,13,14,10.89473684,0.545782897,0
6356,13,12.56842105,237,0.562135113,13,5400,12,12,9.319148936,0.507287449,1
6317,13,12,206,0.530662812,11,5888,13,11,11.55789474,0.53150957,1
5957,13,11.96808511,193,0.54682309,12,6070,13,12,10.48421053,0.529008982,1
6206,13,11.55789474,156,0.48714401,10,6311,13,12,11.29473684,0.530431955,1
5906,13,10.4,109,0.607619048,12,5712,13,10,11.41489362,0.489268703,0
6057,13,11.95744681,220,0.605793209,12,6185,13,11,11.14893617,0.502778668,1
6290,13,9.768421053,150,0.556470315,16,6993,13,16,11.38947368,0.599516199,1
6616,12,10.24210526,49,0.544352959,20,6006,13,12,10.45263158,0.53993877,1
6527,13,10.37234043,116,0.579453152,12,6314,13,14,11.18947368,0.546165281,1
6017,13,12.18947368,212,0.511276429,11,6164,13,12,10.96842105,0.543416951,1
6007,13,10.77894737,163,0.5909382,11,5607,12,10,10.36842105,0.501769503,1
6016,13,9.659574468,110,0.50936587,10,6238,13,9,10.65263158,0.524630796,0
